,NR_TURNO,NM_MUNICIPIO,CD_CARGO_PERGUNTA,NM_VOTAVEL,QT_VOTOS
9012,1,MASSAPÊ,11,JOÃO PONTES,6450
9108,1,SENADOR SÁ,11,Nulo,93
9109,1,SENADOR SÁ,11,BEL JUNIOR,3223
9110,1,SENADOR SÁ,11,ZÉ MARIA,2287
9111,1,SENADOR SÁ,11,KÊBA RAFAEL,33
9112,1,SENADOR SÁ,11,Branco,28
9138,1,MOMBAÇA,11,DR. TIBÉRIO,149
9139,1,MOMBAÇA,11,ORLANDO FILHO,12308
9140,1,MOMBAÇA,11,EDUARDO DERECO,11194
9141,1,MOMBAÇA,11,Nulo,1118
9142,1,MOMBAÇA,11,Branco,317
9192,1,MORADA NOVA,11,Branco,748
9193,1,MORADA NOVA,11,Nulo,1586
9194,1,MORADA NOVA,11,EDINHO,1775
9195,1,MORADA NOVA,11,PROFESSORA KÁTIA,536
9196,1,MORADA NOVA,11,GLAUBER CASTRO,16810
9197,1,MORADA NOVA,11,DOUTOR LUCIANO GIRÃO,1099
9198,1,MORADA NOVA,11,WANDERLEY NOGUEIRA,22782
9290,1,IBICUITINGA,11,Nulo,266
9291,1,IBICUITINGA,11,Branco,87
9292,1,IBICUITINGA,11,JÚNIOR GIRÃO,4815
9293,1,IBICUITINGA,11,FRANZÉ CARNEIRO,5908
9340,1,NOVA RUSSAS,11,GIORDANNA MANO,9929
9341,1,NOVA RUSSAS,11,Branco,252
9342,1,NOVA RUSSAS,11,DR PEDRO XIMENES,8139
9343,1,NOVA RUSSAS,11,Nulo,912
9432,1,ARARENDÁ,11,Branco,125
9433,1,ARARENDÁ,11,DR. ALEXANDRE FELIX,4610
9434,1,ARARENDÁ,11,Nulo,237
9435,1,ARARENDÁ,11,DR LUIZ,2358
9460,1,PACAJUS,11,Branco,1160
9461,1,PACAJUS,11,FAN CUNHA,870
9462,1,PACAJUS,11,Nulo,2034
9463,1,PACAJUS,11,PAULO PONTES,1587
9464,1,PACAJUS,11,JUNIOR CHAVES,14804
